Words,Count
the,3742
bell,7
in,922
fog,2
and,1968
other,84
stories,3
i,656
great,62
author,8
had,720
realized,8
one,253
of,1733
dreams,6
his,881
ambitious,2
youth,38
possession,9
an,196
ancestral,3
hall,20
england,17
it,559
was,909
not,386
so,184
much,66
good,59
americans,5
reverence,1
for,480
ancestors,9
that,745
inspired,3
longing,4
to,1394
consort,1
with,511
ghosts,6
ancient,8
line,12
as,480
artistic,1
appreciation,2
mellowness,1
dignity,7
aristocratic,5
aloofness,1
walls,14
have,265
sheltered,2
furniture,11
has,71
embraced,3
generations,4
dead,58
mere,5
wealth,12
only,85
astute,3
incomparably,1
modern,6
brain,22
yielded,3
respect,7
ego,7
raised,16
its,121
gooseflesh,1
at,338
sight,13
rooms,10
furnished,9
a,1287
single,1
check,4
conciliatory,1
taste,5
might,48
be,234
dumping,1
old,172
interiors,1
europe,7
into,106
glistening,3
shells,1
united,6
states,8
roused,2
him,315
almost,34
passionate,5
protest,5
but,470
offended,1
patriotismwhich,1
he,1178
classified,1
among,26
unworked,1
ideals,6
average,4
american,18
artist,5
therefore,5
no,242
excuse,5
even,56
affectation,1
cosmopolitanism,1
heaven,12
knew,52
national,3
enough,33
everything,9
else,8
from,193
accent,2
lack,1
repose,3
let,39
surroundings,3
keeping,4
orth,38
left,38
soon,19
after,79
first,72
successes,2
art,12
being,26
too,81
confounded,1
locality,1
long,114
since,31
ceased,11
spoken,4
all,196
civilized,1
stages,1
puppets,1
if,177
never,93
picturesque,4
nor,34
impassioned,1
originality,1
overwhelming,1
style,3
subtleties,1
always,36
understoodindeed,1
rule,3
they,278
were,302
notbut,1
musical,2
mystery,5
language,1
penetrating,1
charm,2
lofty,3
cultivated,2
mind,46
induced,4
raptures,1
initiated,1
forever,5
denied,1
those,61
who,137
failed,8
appreciate,2
following,8
large,39
very,89
distinguished,4
aristocracies,1
earth,23
gave,31
understand,8
admire,2
ralph,2
deliberately,7
relegate,1
ones,4
self,6
ranks,2
elect,2
are,140
few,42
frequently,1
subscribe,1
circulating,1
libraries,1
on,307
continent,4
buy,6
tauchnitz,1
edition,2
mr,15
inherited,5
sufficiency,1
dollars,12
enable,3
keep,14
jermyn,1
street,7
wardrobe,5
englishman,3
leisure,7
been,185
forced,9
consider,2
tastes,1
middleclass,5
desk,6
hampstead,1
mercifully,1
fashionable,9
exclusive,4
sets,2
london,9
sought,8
wary,2
become,16
fad,1
sophisticated,1
grate,1
or,86
bore,7
consequently,2
popularity,2
continued,13
evenly,1
year,33
come,68
regarded,7
them,154
keenly,2
addicted,1
sport,2
could,119
handle,3
gun,1
men,48
respected,4
breeding,2
cared,4
less,14
books,15
than,93
women,48
did,96
perhaps,21
because,18
patience,1
is,271
characteristic,3
their,169
sex,3
am,77
alluding,1
however,25
this,171
instance,2
menoftheworld,1
group,4
young,87
literary,3
menand,1
two,70
womenput,1
pedestal,1
kissed,4
before,83
naturally,3
imitated,2
flattered,4
kindly,8
heart,32
deep,18
cerecloths,1
formalities,1
sooner,2
later,23
wrote,10
appreciations,1
which,142
nobody,6
living,16
owing,1
subtitle,1
signature,1
answered,5
every,52
purpose,2
utterly,2
content,8
12th,1
august,6
until,38
late,13
winterwhen,1
go,73
homburg,3
rivierahe,1
visited,6
best,15
houses,12
slept,9
state,14
chambers,2
meditated,1
historic,3
parks,2
country,14
passion,15
longed,6
own,46
acres,6
turning,5
fifty,8
when,180
greataunt,2
died,20
made,67
her,874
heir,2
poor,26
reward,2
immortal,2
services,1
literature,2
read,22
will,110
phenomenally,1
appreciative,1
relative,3
estate,15
there,170
rush,1
new,59
editions,1
announced,10
smiled,19
cynicism,1
unmixed,1
sadness,2
grateful,5
money,21
fastidious,2
would,186
permit,5
bought,15
countryseat,1
place,35
gratified,4
dreamsfor,1
romanced,1
about,94
sometime,1
english,11
dreamed,5
woman,87
once,76
property,3
church,12
ruin,7
cloister,1
chapel,2
above,24
wood,7
sharp,7
against,32
low,9
pale,10
sky,7
house,69
itself,23
tudor,2
generation,2
kept,14
repair,2
lawns,6
velvety,1
hedges,1
rigid,6
trees,18
aged,6
any,68
works,2
castle,8
quite,20
perfect,10
while,33
felt,40
like,129
bridegroom,1
succession,2
honeymoons,1
often,17
laid,20
hand,43
rough,4
ivied,1
lingering,1
caress,2
time,89
returned,32
hospitalities,1
friends,29
invitations,2
given,16
exclusiveness,1
distinction,4
refused,4
visiting,2
eagerly,7
letters,4
sometimes,22
benumbed,1
by,167
cold,20
formal,2
presence,8
awed,1
silences,2
chillingsworththe,1
entered,26
therethey,1
thrilled,2
anticipation,1
verbal,2
triumphs,1
forthwith,1
entire,3
set,15
dared,8
ask,11
autograph,1
although,42
invariably,2
described,4
brilliant,17
affirmed,1
gentle,4
lovable,1
well,72
spend,3
weeks,15
chillingsworth,8
companion,26
whole,8
rather,17
lonely,11
man,137
occurred,8
how,55
gay,6
june,3
morning,21
sunlight,1
streaming,1
through,54
narrow,15
windows,23
illuminating,1
tapestries,1
armor,1
family,23
portraits,3
profligate,1
whom,16
splendid,9
purchase,3
dusting,1
gold,8
black,36
wainscot,1
floor,26
gallery,14
moment,64
studying,3
favorite,3
gallant,1
little,119
lad,1
green,18
costume,2
robin,1
hood,1
boys,10
expression,15
imperious,4
radiant,4
beauty,23
disposition,1
appealed,1
powerfully,2
stared,17
today,19
whose,32
life,90
nothing,47
suddenly,39
became,18
aware,2
human,12
stirring,1
foundations,4
aesthetic,2
pleasure,14
wish,26
alive,19
here,61
thought,78
sigh,7
what,120
jolly,2
fine,17
mansion,7
make,36
far,27
more,111
complementary,1
setting,1
me,141
turned,39
away,32
abruptly,17
find,24
himself,68
face,98
portrait,9
girl,51
unlike,3
boy,29
yet,32
way,45
unmistakably,4
painted,7
same,25
concluded,7
brother,6
sister,11
she,806
angelically,1
fair,6
wasshe,1
six,14
years,93
oldher,1
darkblue,3
eyes,93
must,54
remarkable,7
twenty,14
pouting,1
mouth,20
scarlet,2
serpent,1
skin,12
transparent,1
hair,36
fell,20
wavingnot,1
curled,3
orthodoxy,1
childhoodabout,1
tender,2
bare,6
shoulders,8
wore,25
white,46
frock,10
clasped,5
tightly,2
breast,5
