Words,Count
the,2570
journal,6
of,1790
a,982
voyage,25
to,1372
lisbon,19
dedication,1
public,28
your,23
candor,1
is,363
desired,4
on,263
perusal,2
following,5
sheets,2
as,469
they,183
are,175
product,2
genius,10
that,549
has,5
long,34
been,114
delight,4
and,1213
entertainment,9
it,525
must,39
be,361
acknowledged,2
lamp,1
almost,36
burnt,1
out,62
does,2
not,314
give,24
so,254
steady,2
uniform,1
light,7
when,107
blazes,1
in,893
its,56
full,21
vigor,2
but,282
yet,35
well,60
known,19
by,285
wavering,1
if,128
struggling,2
against,21
own,101
dissolution,1
sometimes,21
darts,1
ray,1
bright,3
ever,47
like,27
manner,19
strong,7
lively,3
will,108
last,25
struggles,1
mount,1
aloft,1
throw,1
forth,10
most,77
striking,1
marks,8
original,6
luster,1
wherever,2
these,72
found,31
do,34
you,38
genuine,1
patrons,1
extraordinary,11
capacities,1
liberal,2
applauses,1
him,97
who,173
now,78
no,168
more,176
were,145
whilst,9
he,393
was,475
amongst,2
other,101
hand,11
this,359
little,86
work,17
there,101
should,94
appear,22
any,168
traces,2
weakened,2
decayed,2
life,19
let,15
imaginations,1
place,33
before,65
eyes,6
true,32
picture,3
trembling,1
latest,1
hour,17
body,14
emaciated,3
with,422
pains,9
for,407
affecting,1
open,7
each,8
tender,7
heart,6
call,10
melting,1
tear,1
blot,1
whatever,14
failings,1
may,107
begun,8
pain,7
finished,4
at,286
same,85
period,2
thought,33
proper,16
friends,9
deceased,2
piece,5
come,11
into,67
hands,11
came,28
from,223
author,8
being,92
judged,1
would,142
better,29
pleased,11
have,225
an,149
opportunity,7
observing,4
faintest,1
admired,1
than,177
patched,1
different,14
which,503
means,24
might,56
effaced,1
success,17
written,3
though,91
first,38
published,1
volume,1
authors,3
posthumous,1
pieces,3
attended,17
some,113
convenience,5
those,79
innocents,1
hath,47
left,28
behind,6
doubt,11
motive,7
encourage,3
circulation,1
through,20
kingdom,8
engage,2
every,58
future,3
exert,3
itself,25
pleasure,18
principles,3
spirit,3
breathe,1
line,1
small,28
fragment,1
answer,12
lord,6
bolingbroke,1
unquestionably,1
sufficient,19
apology,3
publication,1
although,1
vital,1
strength,11
wanting,4
finish,2
happily,3
designed,1
preface,2
perhaps,52
pleasant,15
or,216
profitable,1
study,1
among,26
their,169
principal,7
end,19
amusement,8
travels,7
voyages,2
wrote,2
ought,5
joint,4
view,11
information,4
mankind,8
conversation,9
travelers,6
eagerly,3
sought,1
after,40
we,253
believe,38
books,6
still,8
agreeable,14
company,11
general,19
instructive,2
entertaining,1
i,600
say,25
usually,5
welcome,5
understood,11
mean,7
only,87
such,123
had,349
good,58
sense,11
enough,17
apply,4
peregrinations,1
use,27
acquire,2
them,116
real,8
valuable,7
knowledge,10
men,45
things,16
both,37
best,24
comparison,3
customs,4
manners,5
everywhere,3
office,7
dull,3
traveler,9
difference,4
hills,3
valleys,1
rivers,7
short,19
various,4
views,2
see,18
face,5
earth,5
scarce,27
afford,4
worthy,9
his,376
labor,15
surely,8
very,156
communicating,3
kind,44
improvement,2
others,25
make,25
companion,7
man,77
necessary,13
seen,23
much,96
overlooked,2
what,79
nature,24
great,89
always,44
admirable,3
her,111
productions,2
therefore,35
called,28
commentator,3
expect,8
find,21
subjects,1
notice,10
certain,20
indeed,121
one,130
guilty,3
omission,1
opposite,9
extreme,4
fault,4
side,24
easily,7
pardoned,1
hungry,2
surfeited,1
miss,1
dessert,1
table,11
whose,27
gardens,2
abound,3
choicest,1
fruits,5
taste,15
affronted,1
sort,2
trash,1
can,55
picked,2
up,40
greenstall,1
wheelbarrow,1
carry,8
analogy,2
between,20
