Words,Count
part,108
i,3098
1904,1
miss,117
thangue,45
who,302
had,2414
never,398
seen,121
her,2404
friends,60
hand,81
tremble,2
among,50
the,11078
teacups,1
before,298
felt,150
an,724
edge,29
on,1059
mental,16
appetite,7
stimulating,5
after,235
two,222
monotonous,6
years,170
abroad,16
it,1909
was,2570
several,109
minutes,19
however,54
she,2272
made,233
any,340
effort,25
to,4820
relieve,2
curiosity,30
for,1751
of,6513
all,873
patronfriends,1
victoria,115
gwynne,532
required,3
most,212
delicate,20
touch,13
flora,44
learned,20
be,1027
audacious,1
without,123
taking,27
a,4824
liberty,33
which,311
indeed,39
one,681
secret,29
success,34
but,1736
although,254
prided,4
herself,148
upon,239
reading,16
this,606
enigma,1
whom,72
even,329
ancestral,11
dames,3
capheaton,31
looked,219
down,336
inspectively,1
quite,160
sure,98
ground,25
particularly,34
wished,21
avoid,11
mistakes,5
renewal,2
intimacy,6
kept,36
alive,30
by,605
fitful,1
correspondence,6
during,84
sojourn,4
continent,5
apart,10
from,622
selfinterest,1
liked,42
no,788
as,1850
well,280
and,6702
tempered,6
warm,24
sympathy,17
genuine,14
interest,80
capacity,12
friendship,10
unlimited,3
goodnature,3
that,2957
saved,10
penniless,1
ignominious,1
footing,1
social,34
parasite,2
daughter,19
clergyman,1
in,3507
yorkshire,1
village,15
playmate,1
childhood,5
little,296
girls,86
castle,17
near,17
realized,28
early,46
life,301
pretty,59
wellbred,6
not,1226
yet,66
sufficiently,9
dowered,1
either,64
nature,72
or,542
fortune,22
hope,62
brilliant,44
marriage,21
detested,7
poverty,8
fathers,16
death,47
must,154
earn,2
bread,4
reasoning,1
selfsupport,1
merely,82
marketing,1
ones,36
essential,3
commodity,1
plump,3
indolent,3
body,32
disinclined,3
privations,2
sort,116
elected,7
role,17
useful,24
friend,40
fashionable,14
luxurious,11
women,176
exalted,10
niche,2
fill,8
at,1107
least,187
perfection,3
ambitions,15
were,953
modest,9
moreover,40
certain,78
integrity,1
character,32
girlish,9
enthusiasm,20
more,633
corrosive,1
properties,6
anomalous,1
position,31
only,361
clever,39
enough,167
frankly,14
servility,3
become,70
so,672
indispensable,4
still,188
blooming,6
forties,2
would,648
have,1269
deserted,15
them,432
mere,85
husband,47
than,463
renounced,3
comfortable,31
varied,12
existence,16
less,111
uncertainties,1
matrimony,12
often,63
kindly,6
fate,10
overlooked,6
long,250
period,14
when,601
accepted,29
invitation,10
old,357
playmates,1
visit,37
florence,2
been,614
with,1699
lively,9
anticipation,7
dismay,3
poignant,2
face,111
hypochondria,1
nevertheless,22
realizing,1
debt,9
first,207
patrons,4
much,306
affection,9
revived,4
wandered,15
capital,13
specialist,1
next,57
until,148
gave,84
unrewarded,1
legacy,4
inspired,15
desire,46
establishment,4
beyond,59
room,133
club,43
dover,1
street,136
companionship,10
too,311
exacting,4
agreeable,7
sense,86
indispensableness,1
splendor,4
environment,4
warmth,8
color,30
could,384
commanded,9
set,86
up,427
middle,17
independent,24
spinster,1
limited,2
income,29
received,29
many,295
impatient,3
letters,23
while,152
replied,41
fluent,2
picturesque,20
gossip,18
losing,15
moment,168
release,4
came,105
hastened,4
home,111
book,14
houseparties,1
opulent,1
list,3
correspondents,3
ardent,14
there,640
intimate,13
reached,47
sooner,12
later,49
found,107
subtle,27
changes,9
account,20
now,177
alone,95
three,105
days,98
stress,2
duties,4
both,86
hostess,14
silent,17
today,50
seemed,97
inclined,11
conversation,27
manifestly,4
nervous,13
drank,7
tea,21
air,31
being,137
happy,63
england,112
intellectual,14
patiently,1
waited,17
cue,1
inspiration,7
silence,20
memory,29
imagination,18
held,37
rendezvous,2
circumspect,1
brain,46
stole,5
furtive,1
glance,19
companion,12
lady,120
tallest,1
time,390
handsomest,5
extolled,1
fusion,1
romantic,30
aristocratic,11
ideals,19
rarely,31
find,73
each,50
other,240
same,95
shell,13
loved,30
few,172
round,43
slender,7
figure,45
supple,1
exercise,12
ignorant,4
disease,6
black,94
hair,71
eyes,238
utter,9
absence,16
smooth,5
orientally,1
white,107
skin,14
mouth,32
full,88
curving,1
sharply,12
upward,15
corners,8
irregular,4
nose,16
presented,16
afterthought,2
save,29
classic,8
severity,5
lookfor,1
partas,1
if,756
fashioned,3
picturegallery,2
poem,1
rather,89
commonplaces,3
always,192
those,212
englishwomen,2
let,82
their,519
energy,13
expressed,11
whatever,38
once,164
mobile,2
late,61
aging,1
composed,4
itself,51
into,358
illuminated,7
mask,7
far,203
possible,48
removed,10
ideal,15
british,19
matron,9
suggesting,5
untamed,1
something,122
complex,6
centres,1
aloof,2
monumental,2
recently,7
painted,26
great,264
artist,11
world,158
exhibition,4
illustration,2
what,444
centuries,10
breeding,8
selection,4
done,63
noblewomen,1
some,275
frenchman,5
such,161
fashion,36
vowed,9
he,2217
given,71
epitome,1
youth,63
others,85
remarked,23
cynically,5
his,1718
handsome,36
subject,39
about,350
seat,15
corner,33
table,43
smoke,38
cigarette,23
american,151
habitually,2
cruel,2
triumphantly,4
transferring,1
type,24
canvas,8
drawn,11
surface,25
soul,56
woman,195
ran,40
might,232
admire,12
hint,12
bitterness,6
lower,30
indomitable,3
courage,13
sweetness,2
carnage,1
head,119
tilt,1
chin,8
insolence,3
enemies,14
wildest,4
stories,11
past,43
thirty,25
current,7
rejected,2
believed,17
according,9
habit,22
personal,41
bias,1
tinker,1
reputations,4
queen,2
known,68
resentment,10
through,129
shortsighted,1
loyalty,4
members,14
household,10
dangerous,8
creature,15
named,8
secrets,3
open,55
scandal,8
avoided,9
imperturbably,6
additional,4
shade,10
apologizing,1
nor,89
explaining,2
wherein,1
doubt,177
lay,33
strength,30
then,301
eminently,6
respectable,21
arthur,5
second,34
son,36
marquess,4
strathland,20
zeal,41
fondly,3
alluded,5
missus,1
lauded,1
repository,1
unfashionable,2
virtues,8
presiding,1
teatable,5
sons,11
countryhouse,6
eager,11
light,71
like,437
neither,40
portraits,9
nearly,39
approached,15
perhaps,82
poor,59
gwynnes,63
frozen,5
stoic,1
finally,47
uncontrollable,2
movement,12
halfoverturned,1
creamjug,1
thangues,2
overcame,3
murmured,13
tentatively,2
ever,193
you,1865
vicky,25
am,337
allowances,2
are,694
maternal,18
anxiety,3
oh,83
drew,17
deep,44
breath,12
continued,15
vaguely,18
failed,13
mother,98
asked,125
dispassionately,2
things,102
somehow,10
away,72
see,186
almost,129
every,212
jack,70
is,1214
fortynine,1
look,109
equal,10
candor,1
thankful,14
my,684
age,22
lodge,3
can,257
tempted,7
enroll,1
myself,102
millions,18
married,37
just,147
sixteen,6
make,182
fool,12
yourself,58
showed,8
signs,6
relapsing,1
plunged,4
recklessly,6
bound,18
has,332
get,135
wanted,41
dearis,1
anything,133
wrong,16
bulky,1
letter,27
california,144
day,148
arrived,34
do,358
tiresome,3
property,23
giving,19
trouble,25
pity,24
way,143
off,145
san,244
francisco,204
lease,4
runs,6
out,521
shortly,3
half,99
southern,21
ranch,62
