Words,Count
a,1020
journey,17
from,184
this,313
world,64
to,1524
the,2258
next,24
introduction,1
whether,24
ensuing,1
pages,4
were,186
really,22
dream,2
or,94
vision,5
of,1449
some,113
very,204
pious,2
and,1215
holy,3
person,45
they,146
written,6
in,780
other,117
sent,19
back,37
which,427
is,191
opinion,29
many,44
though,52
i,1449
think,24
too,36
much,102
inclining,1
superstition,3
lastly,6
as,468
infinitely,8
greatest,33
part,31
imagine,8
production,1
choice,3
inhabitant,1
new,9
bethlehem,1
not,307
necessary,11
nor,59
easy,8
determine,2
it,424
will,44
be,239
abundantly,2
sufficient,12
if,86
give,29
reader,7
an,159
account,19
by,297
what,92
means,37
came,35
into,112
my,789
possession,9
mr,18
robert,1
powney,2
stationer,1
who,255
dwells,1
opposite,3
catherinestreet,1
strand,1
honest,3
man,68
great,122
gravity,8
countenance,22
among,23
excellent,4
stationery,1
commodities,1
particularly,13
eminent,7
for,448
his,407
pens,2
am,33
bound,1
acknowledge,1
owe,5
their,123
peculiar,1
goodness,6
that,521
manuscripts,2
have,204
any,144
been,114
legible,1
gentleman,20
say,18
furnished,4
me,555
time,88
since,21
with,480
bundle,2
those,96
wrapped,1
up,37
care,21
caution,3
large,15
sheet,2
paper,6
full,13
characters,12
seemed,24
bad,11
hand,14
now,139
surprising,3
curiosity,10
read,17
everything,15
almost,20
illegible,1
partly,2
perhaps,29
sweet,3
remembrance,2
dear,10
scrawls,1
skrawls,1
skrales,1
word,29
variously,1
spelled,1
youth,15
received,33
lovely,7
creation,1
tenderest,1
regard,9
temper,12
mind,27
makes,7
men,40
set,24
immense,8
value,14
on,297
old,20
so,254
effaced,1
bustoes,2
maimed,2
pictures,3
black,6
no,164
one,169
can,36
tell,6
make,42
them,100
therefore,35
perused,1
wonderful,5
application,3
about,39
day’s,1
discovered,12
could,133
understand,3
immediately,35
repaired,1
inquired,3
eagerly,4
he,539
had,600
more,119
same,59
manuscript,3
produced,7
hundred,4
acquainting,4
saved,4
but,308
book,10
was,781
originally,5
huge,2
folio,1
left,32
garret,1
lodged,2
there,72
him,296
satisfaction,13
nine,4
months,6
lodging,2
proceeded,11
inform,4
hawked,1
phrased,1
all,222
booksellers,1
refused,17
meddle,1
alleged,1
others,24
would,138
haze,1
atheistical,1
libel,1
government,4
reasons,7
print,1
likewise,14
shown,2
rl,1
society,2
shook,5
heads,6
saying,16
nothing,38
enough,20
hearing,6
gone,7
westindies,1
believing,1
good,65
else,5
used,16
waste,1
said,71
welcome,1
remained,10
heartily,10
sorry,1
missing,1
desired,11
name,27
price,8
receive,11
consideration,5
farther,9
than,134
payment,1
small,18
bill,1
owed,5
at,290
looked,11
money,27
given,16
presently,16
communicated,1
friend,17
parson,4
abraham,1
adams,1
after,60
long,37
careful,1
perusal,1
returned,22
first,63
appeared,17
author,11
entirely,13
unacquainted,3
writings,2
plato,2
wished,7
quoted,1
sometimes,15
margin,1
might,49
sure,14
original,2
continued,12
commoner,2
nowadays,1
pretend,3
greek,4
authors,2
met,18
only,69
translations,2
cannot,10
conjugate,1
verb,1
mi,1
deliver,1
own,62
sentiments,6
occasion,10
discovers,2
philosophical,1
turn,9
thinking,5
little,69
knowledge,6
inadequate,1
are,87
indeed,78
vivacity,2
happiness,26
station,14
willing,4
consider,10
its,21
blessings,2
substantial,1
whole,44
scene,7
consequence,11
here,33
represented,6
without,74
controverting,1
opinions,3
present,18
number,13
wise,22
thought,57
our,96
keep,8
attended,13
ill,10
inference,1
everywhere,2
teaches,2
moral,1
truest,2
affords,2
found,50
virtue,14
doctrine,1
undoubtedly,1
true,12
hath,26
noble,10
practical,1
tendency,1
never,57
often,36
strongly,4
inculcated,1
minds,4
chapter,26
dies,1
meets,1
mercury,3
conducted,3
stage,7
sets,1
out,74
day,33
december,1
1741,1
1,1
departed,7
life,50
lodgings,2
cheapside,1
body,18
dead,6
before,60
liberty,5
quit,3
lest,2
should,68
accident,7
return,22
injunction,1
imposed,6
souls,3
eternal,3
law,3
fate,5
prevent,12
inconveniences,3
follow,3
soon,61
destined,3
period,3
expired,1
being,96
longer,11
till,32
become,5
perfectly,10
cold,7
stiff,1
began,37
move,3
myself,95
under,18
difficulty,12
making,19
escape,5
mouth,5
door,3
shut,4
impossible,12
go,23
windows,2
vulgarly,1
called,19
eyes,19
closely,2
pulled,4
down,13
fingers,1
nurse,1
open,14
last,34
perceived,16
beam,1
light,20
glimmering,1
top,1
house,24
such,84
may,29
call,9
inclosed,1
whither,3
ascending,1
gently,1
let,15
through,33
kind,24
chimney,1
issued,2
nostrils,2
prisoner,2
discharged,3
confinement,2
ever,46
tasted,1
sweets,1
exquisite,3
relish,3
enjoyed,12
delivery,3
dungeon,1
wherein,4
detained,1
upwards,2
forty,1
years,25
cast,6
2,1
backwards,1
upon,35
friends,6
relations,2
quitted,6
room,14
plainly,5
overheard,2
loudly,1
quarreling,1
below,4
stairs,1
woman,29
above,8
guard,2
apprehend,10
she,122
fast,6
sleep,4
occasioned,9
her,168
savor,3
comfortable,2
dose,2
gin,1
pleasure,26
company,19
window,1
wide,1
sallied,1
forth,13
air,13
astonishment,5
unable,3
fly,3
always,22
during,14
habitation,3
conceived,3
spirits,27
however,42
lightly,1
ground,6
did,71
hurt,2
gift,1
flying,1
owing,5
probably,7
having,31
neither,9
feathers,1
wings,1
capable,8
