Words,Count
the,16608
history,135
of,10396
tom,140
jones,1603
a,6732
foundling,19
book,90
i,6134
containing,72
as,3279
much,806
birth,23
is,2461
necessary,75
or,1120
proper,145
to,11332
acquaint,40
reader,310
with,2893
in,5628
beginning,23
this,2644
chapter,293
introduction,5
work,57
bill,19
fare,8
feast,2
an,1013
author,44
ought,64
consider,89
himself,568
not,2725
gentleman,386
who,1427
gives,13
private,31
eleemosynary,2
treat,10
but,2109
rather,235
one,939
keeps,11
public,45
ordinary,17
at,2137
which,3404
all,1625
persons,109
are,1116
welcome,19
for,3471
their,777
money,121
former,127
case,107
it,3269
well,672
known,110
that,3974
entertainer,1
provides,1
what,1059
he,5005
pleases,10
and,8565
though,642
should,695
be,2788
very,1418
indifferent,28
utterly,11
disagreeable,25
taste,34
his,3930
company,227
they,976
must,589
find,178
any,1208
fault,35
nay,248
on,1506
contrary,95
good,669
breeding,11
forces,6
them,626
outwardly,6
approve,13
commend,4
whatever,86
set,129
before,566
now,1016
happens,20
master,183
men,249
pay,59
eat,46
will,1304
insist,31
gratifying,3
palates,1
however,302
nice,17
whimsical,6
these,547
may,754
prove,23
if,1174
everything,86
agreeable,56
challenge,8
right,120
censure,17
abuse,29
dn,45
dinner,48
without,421
controul,2
prevent,45
therefore,404
giving,62
offence,37
customers,3
by,1769
such,860
disappointment,16
hath,638
been,961
usual,65
honest,68
wellmeaning,1
host,6
provide,22
peruse,2
first,388
entrance,19
into,658
house,322
having,412
thence,16
acquainted,142
themselves,118
entertainment,31
expect,64
either,139
stay,53
regale,3
provided,34
depart,15
some,896
other,731
better,259
accommodated,4
we,960
do,581
disdain,19
borrow,6
wit,36
wisdom,43
from,1671
man,675
capable,66
lending,2
us,260
have,2942
condescended,9
take,242
hint,35
victuallers,1
shall,499
prefix,2
only,541
general,42
our,530
whole,271
likewise,136
give,267
particular,53
bills,3
every,285
course,27
served,22
up,373
ensuing,8
volumes,5
provision,5
then,686
here,388
made,368
no,1489
than,1243
human,128
nature,185
nor,405
fear,85
my,2200
sensible,50
most,579
luxurious,1
start,1
cavil,3
offended,33
because,71
named,11
article,10
tortoiseas,1
alderman,3
bristol,14
learned,47
eating,14
knows,70
experiencebesides,1
delicious,14
calipash,1
calipee,1
contains,5
many,461
different,93
kinds,9
food,15
can,579
ignorant,26
collected,10
under,114
name,187
prodigious,9
variety,11
cook,7
sooner,192
gone,93
through,96
several,115
species,28
animal,21
vegetable,2
world,295
able,117
exhaust,2
so,1752
extensive,4
subject,73
objection,22
perhaps,393
apprehended,29
more,992
delicate,15
dish,6
too,368
common,65
vulgar,34
else,47
romances,6
novels,8
plays,5
poems,2
stalls,1
abound,1
exquisite,9
viands,1
might,368
rejected,6
epicure,4
was,3990
sufficient,96
cause,103
contemning,1
something,93
found,240
paltry,2
alleys,1
same,384
reality,85
true,133
difficult,39
met,61
authors,27
bayonne,1
ham,1
bologna,1
sausage,1
shops,3
continue,11
metaphor,7
consists,9
cookery,2
mr,1206
pope,7
tells,15
advantage,48
drest,22
oft,7
thought,308
neer,1
exprest,15
honour,492
part,250
flesh,14
eaten,4
table,48
duke,13
degraded,3
another,263
limbs,16
gibbeted,1
were,722
vilest,6
stall,1
town,100
where,368
lies,17
difference,34
between,215
nobleman,11
porter,8
both,291
ox,4
calf,3
seasoning,2
dressing,13
garnishing,1
setting,14
forth,99
hence,47
provokes,3
incites,1
languid,2
appetite,28
turns,9
palls,1
sharpest,1
keenest,1
like,238
manner,225
excellence,7
mental,4
less,191
skill,14
how,269
pleased,153
following,57
adhered,4
closely,1
highest,74
principles,22
best,153
present,253
age,68
heliogabalus,1
produced,46
great,638
lovers,32
polite,17
begins,5
plain,42
things,123
hungry,14
guests,12
rising,14
afterwards,83
degrees,17
stomachs,2
supposed,39
decrease,1
quintessence,1
sauce,3
spices,1
represent,11
keen,3
simple,17
country,134
hereafter,45
hash,1
ragoo,1
high,54
french,31
italian,2
affectation,11
vice,42
courts,4
cities,1
afford,22
means,185
doubt,93
rendered,11
desirous,43
read,104
ever,445
person,292
just,142
abovementioned,14
premised,1
thus,144
detain,9
those,495
longer,85
diet,5
proceed,57
directly,57
serve,28
ii,20
short,163
description,18
squire,315
allworthy,585
fuller,3
account,196
miss,116
bridget,38
sister,109
western,382
division,4
kingdom,20
commonly,19
called,196
somersetshire,17
there,686
lately,53
lived,52
lives,27
still,112
whose,158
favourite,27
fortune,232
seem,43
contended,4
bless,17
enrich,2
him,1967
contention,8
come,230
off,121
victorious,4
she,2533
bestowed,18
gifts,3
while,205
had,3187
gift,10
her,3614
power,156
pouring,6
profuse,2
others,150
think,431
single,53
endowment,1
equivalent,3
various,15
blessings,11
enjoyed,16
derived,16
sound,26
constitution,12
solid,13
understanding,56
benevolent,11
heart,225
latter,102
decreed,3
inheritance,1
largest,3
estates,5
county,5
youth,52
married,71
worthy,63
beautiful,31
woman,308
whom,359
extremely,51
fond,29
three,91
children,58
died,16
infancy,8
misfortune,32
burying,2
beloved,18
wife,176
herself,264
about,240
five,43
years,110
time,520
chuses,1
out,501
loss,58
bore,37
sense,71
constancy,11
confest,10
would,1300
often,234
talk,33
little,640
whimsically,1
head,146
sometimes,79
said,942
looked,53
considered,69
journey,43
certainly,156
later,3
after,404
least,236
meeting,47
again,222
place,204
never,653
moresentiments,1
arraigned,1
neighbours,40
religion,76
second,68
sincerity,14
third,28
retired,52
tender,75
affection,93
lady,687
somewhat,62
past,86
thirty,13
aera,3
opinion,178
malicious,18
title,30
old,158
maid,84
impropriety,4
assumed,4
women,142
you,3494
qualities,21
beauty,78
generally,64
own,619
sex,44
sort,38
womenas,1
madam,289
wish,121
know,468
indeed,873
far,119
regretting,1
want,88
mentioned,137
perfection,18
contempt,49
thank,25
god,16
handsome,44
suchaone,1
led,21
errors,13
otherwise,45
avoided,12
rightly,17
conceived,61
charms,53
snares,3
yet,371
discreet,3
conduct,65
prudence,28
guard,22
apprehend,16
laid,62
observed,62
unaccountable,10
trained,1
bands,2
always,242
readiest,1
go,200
duty,59
danger,78
basely,7
cowardly,3
deserts,6
paragons,2
wishing,9
sighing,9
dying,13
spreading,3
net,1
constantly,19
attends,10
heels,14
higher,32
order,129
distant,17
awful,2
respect,51
despair,41
suppose,92
success,59
venture,33
attack,16
farther,69
together,153
thee,119
intend,34
digress,1
see,308
occasion,178
am,769
myself,208
judge,25
pitiful,12
critic,24
desire,117
critics,21
mind,201
business,115
intermeddle,5
affairs,35
works,24
ways,15
concern,79
till,172
produce,29
authority,45
constituted,6
judges,15
plead,6
jurisdiction,2
iii,20
odd,12
accident,76
befel,8
return,149
home,108
decent,22
behaviour,146
mrs,632
deborah,30
wilkins,37
animadversions,1
bastards,8
told,196
preceding,31
inherited,3
large,48
family,140
doubtless,9
concluded,99
owed,10
shilling,15
took,147
nothing,287
kept,54
entertained,29
hearty,33
charitable,7
poor,410
ie,3
beg,55
offals,1
immensely,1
rich,24
built,1
hospital,2
did,501
done,164
left,157
recorded,13
merit,58
fair,69
freestone,1
over,178
door,83
matters,114
extraordinary,62
kind,278
grossly,6
misspend,1
writing,30
voluminous,3
sagacious,22
friend,212
equal,60
profit,6
pleasure,96
travel,29
pages,13
certain,175
droll,1
facetiously,1
call,95
england,37
absent,12
full,85
quarter,13
year,42
london,63
its,159
importance,20
detained,7
long,228
whence,44
month,19
during,79
space,7
came,209
late,38
evening,105
supper,20
fatigued,4
chamber,39
spent,39
minutes,45
kneesa,1
custom,31
broke,40
accounthe,2
preparing,13
step,25
bed,119
when,937
upon,720
opening,9
cloathes,4
surprize,70
beheld,15
infant,19
wrapt,6
coarse,5
linen,8
sweet,23
profound,16
sleep,39
sheets,3
stood,51
lost,68
astonishment,19
sight,42
ascendant,4
soon,221
began,260
touched,13
sentiments,45
compassion,56
wretch,48
rang,2
bell,14
ordered,61
elderly,2
womanservant,1
rise,12
immediately,195
meantime,8
eager,15
contemplating,7
innocence,32
appearing,5
lively,7
colours,15
display,8
thoughts,90
engaged,49
reflect,31
shirt,7
matron,5
given,155
dress,38
regard,93
decency,14
adjusting,2
hair,15
lookingglass,4
notwithstanding,61
hurry,28
summoned,29
servant,76
aught,6
knew,164
lay,81
expiring,2
apoplexy,3
fit,43
wondered,14
creature,68
strict,29
shocked,22
deviation,5
opened,39
saw,200
standing,15
bedside,7
candle,8
hand,138
started,30
back,86
terrible,16
fright,21
swooned,1
away,144
recollected,21
being,458
undrest,1
put,175
end,130
terrors,16
desiring,18
thrown,29
become,75
incapable,24
shocking,13
pure,14
eyes,175
fiftysecond,1
vowed,9
coat,15
sneerers,1
prophane,3
wits,12
laugh,22
graver,3
considers,8
night,115
summons,8
situation,78
highly,65
justify,15
applaud,8
unless,85
attend,62
maidens,1
period,11
life,215
arrived,108
lessen,11
admiration,14
returned,133
room,178
finding,39
consternation,8
greater,77
could,700
refrain,14
crying,38
horror,17
accent,2
look,103
sir,549
whats,19
answered,565
care,97
child,144
morning,149
orders,39
nurse,7
yes,48
says,397
hope,180
your,1247
worship,37
send,36
warrant,33
hussy,7
mother,104
neighbourhood,19
glad,55
committed,38
bridewell,10
whipt,3
carts,2
tail,4
wicked,57
sluts,3
cannot,152
severely,15
punished,11
ill,119
tis,14
impudence,13
laying,22
me,1530
cant,63
design,44
taken,130
method,44
truly,61
worse,53
dont,160
cries,492
strumpets,1
sins,11
mens,3
doors,38
censorious,3
mans,27
hap,1
pass,36
father,237
begot,2
make,327
people,166
apter,1
believe,291
besides,142
why,192
parish,30
obliged,128
maintain,11
indeedbut,1
goes,12
against,220
touch,4
misbegotten,2
wretches,12
fellowcreatures,9
faugh,1
stinks,2
doth,105
smell,4
christian,38
bold,8
advice,75
basket,2
sent,85
churchwardens,1
rainy,2
windy,1
warm,31
two,325
discharged,30
taking,73
creatures,19
die,31
state,44
grow,10
imitate,14
mothers,14
expected,47
strokes,2
speech,43
strictly,26
attended,69
got,66
fingers,12
infants,2
gentle,37
pressure,2
seeming,7
implore,4
assistance,66
outpleaded,1
eloquence,9
ten,33
times,67
gave,183
positive,13
maidservant,3
pap,1
waked,7
procured,14
early,27
brought,155
stirring,3
discernment,9
excellent,55
scruples,5
way,170
peremptory,9
commands,24
arms,62
apparent,14
disgust,4
illegality,1
declaring,21
walked,31
betook,10
pleasing,16
slumbers,6
hungers,2
goodness,86
apt,46
enjoy,28
thoroughly,20
satisfied,74
possibly,90
sweeter,6
occasioned,38
meal,8
pains,22
air,41
recommend,16
procuring,5
iv,19
readers,79
neck,16
escape,33
condescension,9
gothic,2
stile,8
building,6
nobler,4
allworthys,75
grandeur,3
struck,40
awe,7
rivalled,1
beauties,12
grecian,1
architecture,2
commodious,1
within,97
venerable,3
southeast,1
side,66
hill,27
nearer,14
bottom,20
top,10
sheltered,1
northeast,1
